Name,Type,Website,Location,City,Hours,Comments,How to Help This Business,Dine-In,Outdoor Dining,Outdoor Recreation,Outdoor Retail,Outdoor Services,Gift Cards,Delivery,Take-Out,Order Online,NoCoNosh,DoorDash,GrubHub,Postmates,Bottles,Cans,Crowlers,Growlers,Product Options,Availability,meta_row_index,meta_row_id,GPS Location
A Chef of Your Own,Restaurant/Bar,,,Fort Collins,,"Contact us at 970-218-4444. Preparing fresh, crafted cuisine delivered to your door... New menu each week and accommodating food allergies and intolerance. Check us out!",,,,,,,,true,,,,,,,,,,,,Delivery,1,83a41ec2ec6f4f0355cacd3074d0337567338b1d,POINT (-105.082459 40.588972)
Meineke Car Care Center,Auto,http://www.Meineke.com,4263 S. MASON STREET,Fort Collins,8am-5pm M-F/ 8am-4pmSat/ closed Sun.,,https://www.facebook.com/meinekecarcareusa/,,,,,,,,,,,,,,,,,,,,265,c4ffe3246ec523f92fff27fecfd0c51c85fb0263,POINT (-105.079499 40.52800500000001)
Code 4 Security Services,Business & Professional,,"1501 S Lemay Ave, #201",Fort Collins,,Contact us at 970-541-0796. Open and available to assist during this time.,,,,,,,,,,,,,,,,,,,,,74,7b7d5aebedac0c22f0f3897241f1da04db54e8a2,POINT (-105.057897 40.567794)
JJ's Wood Fired Pizza,Restaurant/Bar,,4015 S. Taft Hill Road,Fort Collins,,"Contact us at 970-286-2501. Stop by to dine in at JJ's Wood Fire Pizza tonight! We have plenty of parking for your convenience. Need to eat on the run? Call us for our carryout services! Try our delicious spaghetti and meatballs or enjoy our salads, appetizers, and desserts! We also have a kids' menu, so the whole family can enjoy a meal together!",,,,,,,,,,,,,,,,,,,,,206,77344b3d391dc24573780bd5a385f03d82fdf4ef,POINT (-105.115087 40.53151100000001)
Panera Bread,Restaurant/Bar,,3700 S College Ave,Fort Collins,,"Contact us at 970-204-4500. Now open for Dine-in, as well as offering online order for Rapid Pick-Up(r) or Delivery, or in our Drive-thrus",,,,,,,,,,true,,,,,,,,,,Order Online,308,3ba5758513efb2b8732aeaf0016f002f2a7614bf,POINT (-105.076973 40.536576)
Ohana Salon,Health & Wellness,http://www.ohanasalon.com,215 E Foothills Pwky,Fort Collins,Tues/Wed 9am-8pm; Thurs 9am-7pm; Fri/Sat 9am-6pm,,"Purchase online gift cards, write a positive review, ""like"" and share posts on social media @ohanasalonco, come in for your hair services or curbside pickup your products and root touchup kits.",,,,,,true,,,,,,,,,,,,Gift Cards,,293,8d7bf84da983df050f18f3b2340a16ba4db2dd1d,POINT (-105.075057 40.543667)
Lazy Dog Grill,,,"Johnstown, CO",Fort Collins,,,,,,,,,,,,,,,,,,,,,,,233,c4f3363de6871a070bcc1462ef6c0354d306055c,
Vern's Liquor,Restaurant/Bar,,4200 W County Road 54G,Laporte,,"Contact us at 970-482-4082. Drive trough open Sunday-Friday 9am-9pm, Saturday 9am-10pm",,,,,,,,,,,,,,,,,,,,,453,6e491c6b3f647f70b28e4ad0ca2764f4550ebe16,POINT (-105.154968 40.633063)
Akinz,Retail,http://akinz.com/,15 Old Town Square,Fort Collins,Online Sales only,,Purchase gift certificates and merchandise online at akinz.com/shop/accessories/gift-certificates-variable-amount.,,,,,,true,,,true,,,,,,,,,Gift Cards,Order Online,6,52e65c9e8c615e7020d70d8ce0502ea394699c9c,POINT (-105.07568 40.587766)
Lu Lu Asian Bistro,Restaurant/Bar,http://lulufc.com/,117 S College Ave,Fort Collins,"Mon-Thurs: 11am -9:30pm, Fri & Sat: 11am-10pm, Sun & Holidays: Noon - 9:30pm",,,,,,,,,,true,,,,true,,,,,,,"GrubHub, Take-Out",248,de74a2c724fe6a3789861271fb38f1ce94e2c175,POINT (-105.07707100000002 40.586535)
Centennial Leasing & Sales,Auto,,"4730 S College Ave, #102",Fort Collins,,"Contact us at 970-689-5466. We are back to a fairly normal routine here at #CLSNoCO. To stay in in compliance with the state of Colorado and local executive county orders to combat the spread of COVID-19, we have opened our doors to vendors, clients and friends.  We are all carrying and wearing masks when we meet with our clients, and ask that you do the same when you come to see us.  We are committed to helping slow the spread of this illness, however we know that we have clients that are in need of vehicles at any given moment. Open for online business, virtual walk-a-rounds, delivering of vehicles, etc. 970-689-5466 or email jvlahos@clscars.com.",,,,,,,,true,,true,,,,,,,,,,"Delivery, Order Online",60,782d741f945c65ed7fdcce013cd8f50c97e7ec88,POINT (-105.076815 40.520705)
Social,Restaurant/Bar,http://www.socialfortcollins.com/,1 Old Town Sq 7,Fort Collins,4:00 PM - 12:00 AM,,How to help this business:,,true,,,,,,,,,,,,,,,,,Outdoor Dining,381,d75af3b276cac95030087304b2a98349e93d24c1,POINT (-105.075899 40.587606)
Dynamic Floor Care,Business & Professional,,,Fort Collins,,"Contact us at 970-566-2509. Carpet, hardwood floor, tile/grout, furniture cleaning open as normal. Contact by phone or text to 970-566-2509 or email to info@dynamicfloorcare.com.",,,,,,,,,,,,,,,,,,,,,117,ae1f114b362552b7fcb9b7ee9c1041836e236950,POINT (-105.082459 40.588972)
TriState Concrete & Excavation,Business & Professional,,617 N U.S. Hwy 287,Fort Collins,,Contact us at 970-493-7029. Concrete contractor country ready mix delivery concrete boom pumping full service excavation company,,,,,,,,true,,,,,,,,,,,,Delivery,440,362d3f4f308df95065ec4fe5d49308d558637997,POINT (-105.086688 40.623862)
Community Automotive Service,Auto,,"1925 S Timberline Rd, S1",Fort Collins,,"Contact us at (970) 484-7556. OPEN and HERE FOR YOU! Our team is hard at work keeping our shop clean and staying healthy so that we can continue serving you. Our techs wear gloves and sanitize every vehicle coming in and leaving our shop. We are offering: *Pick up and delivery service, *Economic hardship essential services discounts, *Very clean loaner vehicles, *Deferred payment plans for repairs to keep you going . And as always, our Rewards Program offers free towing and dollars towards future repairs. Please let us know how else we can help you during these tough times. We're here for you! Visit our website for Economic HELP discounts and to schedule your appointment online: CommunityAutoInc.com",,,,,,,,true,,true,,,,,,,,,,"Delivery, Order Online",85,e9031e1ba533744da1bb80665550bc0641779b31,POINT (-105.039276 40.562305)
Innovative Openings,Retail,http://innovativeopenings.com,Multiple Loations,Fort Collins,"Mon-Fri: 9-5:00pm. Online, Telephone, and virtual appointments only",https://www.innovativeopenings.com/covid-19-response/,https://www.facebook.com/innovativeopenings/,,,,,,,true,,true,,,,,,,,,,"Delivery, Order Online",201,08a8e9eb73ff6f56078a7c6ba1ea6c3a499fb0c0,
Sonny Lubick Steakhouse,Restaurant/Bar,http://www.SonnyLubickSteakhouse.com,115 S College Ave,Fort Collins,Sunday-Thursday:	4:00pm-9:00pm  Friday-Saturday:	4:00pm-10:00pm,"Contact us at 970-484-9200. TEMPORARILY CLOSED To help offset some of the hardship this closure has caused for our employees, we have created a GoFundMe account to accept contributions. https://www.sonnylubicksteakhouse.com/events.aspx#C19F",https://www.facebook.com/SonnyLubickSteakhouse/,,,,,,true,,true,,,,,,,,,,Gift Cards,Take-Out,382,b779125c3170067a03c775dafcf04499c4b8a21a,POINT (-105.07707100000002 40.586635)
Julie Ulstrup Photography,Business & Professional,,,Fort Collins,,"Contact us at 970-217-8533. Open for business on an appointment only schedule. Supporting business through this time, Julie is offering complimentary 30 minute business branding consultations to empower local businesses to attract ideal clients. Moving YOUR brand from Awarenesses to Affinity ~ the service and products your clients LOVE. Call today for a no obligation consultation 970.217.8533",,,,,,,,,,,,,,,,,,,,,220,2b190d507d50bedb3a5097e0d0b0b50014f9150a,POINT (-105.082459 40.588972)
ServiceMaster Restoration,Business & Professional,,"3054 Lake Canal Ct, Ste 120",Fort Collins,,"Contact us at 970-484-0588. Available 24/7/365 for Emergency mitigation needs, Water damage, Sewer backup, Mold Remediation, Fire, Smoke and Odor Removal. We are also set up now for COVID 19 cleaning services- Pre-emptive and post-contamination cleanings.",,,,,,,,,,,,,,,,,,,,,367,2131960e34a2481746ccac8518cf8423d2042aec,POINT (-105.021672 40.583595)
DP Dough,Restaurant/Bar,https://www.dpdough.com/,634 S College Ave,Fort Collins,,,,,,,,,,true,,,,,,,,,,,,Delivery,102,3d07b7cf2516fa5455c7fdabcea2e70a8239ff0b,POINT (-105.076978 40.578737)
RE/MAX Alliance,Business & Professional,http://fortcollins.homesincolorado.com/,4703A Boardwalk Dr,Fort Collins,8:00AM - 5:30PM,,Contact us for questions on real estate changes during COVID. Support one another!,,,,,,,,,true,,,,,,,,,,Order Online,335,cd9829f665338396333637a8c4367c72463e04c8,POINT (-105.065241 40.521774)
Organic Alternatives,,,"346 E Mountain Ave, Fort Collins, CO 80524",Fort Collins,,,,,,,,,,,,,,,,,,,,,,,303,f8d0f26998836d178df6fd7f2f9fe039e7460bdd,
Maya Cove,Restaurant/Bar,http://www.defendmayacove.com/,2100 W Drake Rd,Fort Collins,Monday:  11:00 AM - 10:00 PM  Tuesday:  11:00 AM - 10:00 PM  Wednesday:  11:00 AM - 10:00 PM  Thursday:  11:00 AM - 11:00 PM  Friday:  11:00 AM - 11:00 PM  Saturday:  11:00 AM - 11:00 PM  Sunday:  11:00 AM - 11:00 PM,,How to help this business:,,true,,,,,,,,,,,,,,,,,Outdoor Dining,260,c39401da80b8468dc09c6ebfe951f96ca0e74b07,POINT (-105.116003 40.552889)
Retriever Merchant Solutions,Business & Professional,,"1001A E Harmony Rd, #206",Fort Collins,,"Contact us at 970-218-0510. Setting up online accounts at no cost for set up fee and providing free swipers for customers needing to take payments out/take payment on curb, etc.",,,,,,,,,,true,,,,,,,,,,Order Online,350,6fe7a3efa2db34dc400bf5919e76608d23c7740f,POINT (-105.05849400000001 40.52359)
"Ben & Jerry's (Fort Collins, CO)",Restaurant/Bar,,"1 Old Town Square, Suite 104",Fort Collins,,"Contact us at 970-407-0899. Open for dine-in, delivery, and take out. Sun-Thur 12 to 8pm Fri-Sat 12 to 9pm. Shop #: 970-407-0899; Catering #: 970-407-0899",,,,,,,,true,true,,,,,,,,,,,"Delivery, Take-Out",28,5f20475488c8e10052af82dfebb4ec1f95dbe2e5,POINT (-105.075899 40.587606)
Blue Agave Grill,Restaurant/Bar,http://www.blueagavegrillcolorado.com/locations/fort-collins/,201 S College Ave. Suite 100,Fort Collins,Monday-Saturday  11am-10pm  Sunday  11am-9pm,Contact us at 970-631-8076. limited indoor dining available! / Patio / Carryout / Delivery: Monday - Saturday 11:00am - 10:00pm Sunday 11:00am - 9:00pm Our brunch menu is temporarily suspended until indoor dining resumes. We are still offering bottomless mimosas with any food purchase. Call us to order take out!,How to help this business:,,true,,,,,,true,,true,,,,,,,,,"NoCoNosh, Outdoor Dining, Take-Out",38,40986fc6dbe23c2f3074f4363062dc4cedefb682,POINT (-105.077075 40.585342)
Fuzzy's Taco Shop,Restaurant/Bar,,1335 W Elizabeth,Fort Collins,,"Contact us at 970-407-8226. This location is open for dine in, takeout, and delivery. Also now offers online ordering! Open Monday-Saturday 8am-10pm, and Sunday 9am-10pm",,,,,,,,true,true,true,,,,,,,,,,"Delivery, Order Online, Take-Out",160,f5c97aa32097ef92d3be4af9c1459a152756baf8,POINT (-105.100034 40.574572)
Sundance,Temporarily Closed,,2716 E. Mulberry Street,Fort Collins,,"Contact us at 970-484-1600. We can't wait to welcome you all back to our venue soon! We will update you as things progress but right now, our goal re-open date is April 1st! Keep washing your hands, wearing your mask, and social distancing so we can get back to normal!",,,,,,,,,,,,,,,,,,,,,393,f356f75896937952cac5a7cc965daf0057127d34,POINT (-105.02698700000002 40.581588)
Old Town Spice Shop,Retail,http://www.oldtownspiceshop.com/,130 S College Ave A,Fort Collins,Currently closed for browsing. Pickup Times: Tuesday - Saturday 3:00pm - 5:00pm,,Pickup orders or order online. Purchase a gift card.,,,,,,true,,true,true,true,,,,,,,,Gift Cards,"NoCoNosh, Order Online, Take-Out",298,b4922b2b425e6f1b1f71dfb4f264124b068a7dbb,POINT (-105.076922 40.586248)
Choice City Butcher & Deli,Restaurant/Bar,http://choicecitybutcher.com/,104 W Olive St,Fort Collins,Monday 11am - 4pm Tuesday 11am - 4pm Wednesday 11am - 8pm Thursday 11am - 8pm  Friday 11am - 8pm Saturday 9am - 8pm Sunday 9am - 4pm,"Contact us at 970-490-2489. We are open for dine in, as well as our extended patio. We are open for curbside service. Delivery is available through GrubHub and Doordash.  Hours: Monday 11am - 4pm Tuesday 11am - 4pm Wednesday 11am - 4pm Thursday 11am - 4pm Friday 11am - 8pm Saturday 9am - 4pm Sunday 9am - 3pm",How to help this business:,,true,,,,,,,,,,,,,,,,,Outdoor Dining,70,ac4189983f378492653a3a7c5fd058a95f6e2e3b,POINT (-105.077628 40.584249)
IOME Guilt Free Self Care,Health & Wellness,http://www.iowemenow.com,"4745 E Boardwalk Dr, Unit C3",Fort Collins,M-F 9-5,Free mental health consultations,Please follow IOME for weekly self care tips and accountability @iowemenow,,,,,,,,,,,,,,,,,,,,192,ce1e5b7cead28cd7b0e1af7a58dd6313ba07d5b4,POINT (-105.065168 40.521145)
The Downtown Visitor Center,Temporarily Closed,,1 Old Town Square Unit 107,Fort Collins,,Contact us at 970-232-3840. Find information at https://www.visitftcollins.com/ including information about resources and business hours and availability!,,,,,,,,,,,,,,,,,,,,,408,9a638bfb89f637401a9627b5b266dbddfd449f6c,POINT (-105.075899 40.587606)
The Wright Life,Retail,http://www.wrightlife.com/,200B Linden St.,Fort Collins,Daily 11am-5pm,,How to help this business:,,,,true,,,,,,,,,,,,,,,Outdoor Retail,430,b037681b768438c3658ed8bcde741eb271e8df52,POINT (-105.075167 40.588164)
Mt. Everest Cafe,Restaurant/Bar,https://www.mteverestorderonline.com/,1113 W Drake Road,Fort Collins,"11am-2:30pm, 5pm-9pm",Nepalese food,,,,,,,,true,true,,true,,,,,,,,,"Delivery, NoCoNosh, Take-Out",275,07cc2294cf5f1588e0108236ac6dac5742609c49,POINT (-105.097086 40.552654)
Avuncular Bob's Beerhouse,Restaurant/Bar,https://www.avuncularbobs.com/,830 S College Ave,Fort Collins,"12-7pm Wed/Thurs,  12-8pm Fri/Sat/Sun","Contact us at 970-484-2688. Open today for dine in, and curbside pick-up! Open Tuesday-thursday 3-8pm, Friday and Saturday 12-8pm, Sunday 12-5pm, and Closed Mondays. Times are wacky, but we have you covered with to-go BEER and FOOD today! Check out our full listing at www.avuncularbobs.com. And don't forget, we have BEER FLIGHTS TO-GO",,,,,,,true,,true,,,,,,,,,,Gift Cards,Take-Out,21,8b3ea21d0b6c2a8ef6ba0265c74264134b8191a4,POINT (-105.077003 40.575618000000006)
Fairfield Inn & Suites,Hospitality,,,Fort Collins,,"Contact us at 970-226-6656. Open for lodging and private work space rental! This hotel features free wifi, free parking, and business center. Private work space is more important than ever and we understand that working from home may not be an ideal situation for many individuals. Private rooms are now available for discounted daytime rental from 9:00am - 5:00pm. Please call 970-226-6656 for pricing details.",,,,,,,,,,,,,,,,,,,,,137,795649df20fe7f61c96410e2c636245444fcaad1,POINT (-105.082459 40.588972)
Gib's NY Bagels,,,"2815 E. Harmony Rd. #102,",Fort Collins,,,,,,,,,,,,,,,,,,,,,,,165,ce83519ab0aa458546b0b3f6a595a99c92c89527,POINT (-105.02535300000001 40.523111)
Bizarre Bazaar Books and Music,Retail,http://www.fortcollinsbazaar.com/,1014 S.  College Ave.,Fort Collins,10am - 7 pm,,"Shop at our store. Sell us your books, records, and audio equipment. Donate used media to our free wall!",,,,true,,true,,,,,,,,,,,,Gift Cards,Outdoor Retail,33,afccbf50aea8e4547e9c843afc5188e82b6c63c4,POINT (-105.076983 40.573728)
Courtyard by Marriott Fort Collins,Hospitality,,1200 Oakridge Dr,Fort Collins,,Contact us at 970-282-1700. Open.  Please call 970-282-1700.  Need a break from home? We are offering daily office space for $29.00 per day (plus tax).,,,,,,,,,,,,,,,,,,,,,92,986c79d481d0c4777eaffb6c861a5006b9482547,POINT (-105.055461 40.522162)
Western States Bank,Financial,,1520 E Mulberry,Fort Collins,,"Contact us at 308-365-0383. Certified SBA Lender and is now taking applications for the Paycheck Protection Program (PPP). Our lenders have the details for this program and are ready to help the small businesses in our community with the application process. Call your local branch and speak with a lender or apply online https://wsb.bank/sba-ppp/. Our lobbies are open 9am - 5 pm, M-F by appointment only. Drive-thru at our Mulberry Branch is open from 7:30am -5:30pm, M-F. North College Branch drive-thru is open from 8am - 5:30pm. Please use our online banking, mobile app, drive-thru, night-drop, and ATM's for self-service banking and 24/7 account access. From these digital resources, you can make payments, deposits, transfers, view transactions, and more. Money Pass ATM's are free to our customers and you may find a list of all Money Pass ATM's in the community at: https://www.moneypass.com/atm-locator.html. If you need assistance when using our digital services, our eBanking Specialist are here to help at: wsb.bank ""chat"", email: eBanking@wsb.bank or call: (308) 365-0383.",,,,,,,,,,true,,,,,,,,,,Order Online,468,989617496f7f4b0735d6ad9ea067881c5449426d,POINT (-105.049128 40.581433)
Krazy Karl's Pizza Campus West,Restaurant/Bar,http://www.krazykarlspizza.com,1124 W. Elizabeth St,Fort Collins,M-Sun 10:30am-2am,"Beer and wine for delivery. We deliver for ourselves, avoid unnecessary fees.",,,,,,,true,true,true,,,,,,,,,,Gift Cards,"Delivery, Take-Out",229,f1bf001ba6d17be0eee6d7742ca01ac31599efcd,POINT (-105.09695600000002 40.574645)
Zwei Brewing Co.,Restaurant/Bar,http://www.zweibrewing.com/default.aspx,"4612 S. Mason Street, Ste 120",Fort Collins,1 - 7 p.m.,"1-7PM Some prefills, also take custom orders. Email sales@zweibrewing.com",https://www.facebook.com/zbbrewing/,,,,,,,,true,true,,,,,,,true,true,"Crowlers, Growlers","Order Online, Take-Out",485,6e91c996d33f1ab51511a74ea85e9232b637d1f7,POINT (-105.07867800000001 40.522543)
Lupita's Mexican Restaurant,Restaurant/Bar,https://www.zomato.com/northern-colorado/lupitas-mexican-restaurant-fort-collins/menu,1720 W Mulberry St,Fort Collins,7am - 8pm (Closed Sundays),Call ahead orders or to-go orders,,,,,,,,,true,,,,,,,,,,,Take-Out,252,3559ec501c21cef2d8898ded67aa6da592f6286f,POINT (-105.107146 40.58191)
Independent Avon Representative Anita Wear,Retail,http://Www.youravon.com/awear,108 Victoria Drive,Fort Collins,Open 24/7 online,,"Shop for personal care products,  makeup, holiday decor,  gifts, and more! Google My Business Pinterest Avon by Anita",,,,,,,true,,true,,,,,,,,,,"Delivery, Order Online",197,e8d12cec02aa337c450860bccf3ef6f3a9270f36,POINT (-105.076315 40.484673)
Schlotzsky's,Restaurant/Bar,,4212 S. College Ave,Fort Collins,,"Contact us at 970-226-1711. We're open for dine-in, but pickup and delivery is still available. Order online or on the Schlotzsky's app.",,,,,,,,true,true,true,,,,,,,,,,"Delivery, Order Online, Take-Out",362,d037c767c62f63ade437a09d544925ab1488cb26,POINT (-105.07694200000002 40.528999)
Chick'nCone,,,234 N College Ave,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,65,3027a42d31a7f7072c001028e4f5f5f92d88e2ab,POINT (-105.07690500000001 40.589767)
Tom's Old Town Vintage Barbershop & Shave Parlor,Health & Wellness,https://lucky27barbershop.com/,122 N College Avenue,Fort Collins,"Tue & Thurs - 9am to 5pm Wed, Fri & Sat - 8am to 4pm Closed on Sun & Mon",,How to help this business:Send your loved ones to us,,,,,,true,,,,,,,,,,,,Gift Cards,,436,251a245030eb869c4e27c31f916577a01387842d,POINT (-105.076918 40.587415)
Prost Brewing Co. & Biergarten,Restaurant/Bar,,321 Old Firehouse Alley,Fort Collins,,"Contact us at 970-484-2421. We're open 7 days a week now from 12-8, with indoor and outdoor seating!",,,,,,,,,,,,,,,,,,,,,329,f86f2a54a85870d4043f37e1feac126bff18d14a,
Culver's of Fort Collins,Restaurant/Bar,http://www.culvers.com/,918 S Lemay,Fort Collins,,"Contact us at 970-493-3639. Culvers is not open for dine in. Drive through is open for those who don't want to come in. Take our is also availible. Open 10:00 am - 10:00 pm every day. The health and safety of you and our team members is our highest priority. To continue to serve quality, safe food, we're creating a more controlled environment.",How to help this business:,,true,,,,,,,,,,,,,,,,,Outdoor Dining,97,e1d19c61680956e645e8b66e99249e9e638c458a,POINT (-105.057845 40.575339)
Pulcinella Pizzeria,Restaurant/Bar,https://www.pulcinellapizzeria.com/,1119 W Drake Road C12,Fort Collins,"Sun-Wed 12-8pm, Thurs-Sat 12-9pm",,,,,,,,,,,,,,,,,,,,,,330,84477d8bffdca45c8b87004113aa3c7fbb88e265,POINT (-105.097086 40.552654)
Walnut Creek,Retail,http://www.walnutcreekfoco.com,222 Walnut Street?,Fort Collins,"Tuesday - Sunday, 11 am to 4 pm",We are so grateful for the continued support of our community! Together we will win this!,"Please continue to shop locally, rate, and like us on social media, purchase gift cards in our store. Visit us with masks and appropriate social distancing restrictions. Facebook: facebook.com/WalnutCreekFoco/ & Instagram: instagram.com/walnutcreekfoco/",,,,,,true,true,,,,,,,,,,,Gift Cards,Delivery,462,e686cab76f0d354b20bd04298e3a3badb623618f,POINT (-105.076134 40.58858)
Vincent Gastroteca,Restaurant/Bar,,902 W. Drake Road,Fort Collins,,"Contact us at 970-472-0201. Yes, we are open! Dine in available. Call us for curbside pickup or order delivery online from Noco Nosh!",,,,,,,,true,true,true,,,,,,,,,,"Delivery, Order Online, Take-Out",457,4bd229dfca07ff3a8a8bd7c746c282c8b0390946,POINT (-105.09276700000001 40.552767)
Poudre Pet & Feed Supply,Retail,http://www.poudrefeed.com,"622 N. College Ave,   6204 S. College Ave,   2100 W. Drake Rd #6,",Fort Collins,Mon-Fri 9:30am-6pm Sat-Sun 10am-5pm,,Leave an online review. Follow us on www.facebook.com/poudrefeed &   www.instagram.com/poudrepetfeedsupply/,,,,,,true,true,true,,,,,,,,,,Gift Cards,"Delivery, Take-Out",325,5641fb3586b45abda2a4b38be1234a05cd082d41,
Noco Distillery,Brewery,http://www.nocodistillery.com,328 South Link Ln Ct. #11,Fort Collins,,Bottle sale and Hand sanitizer sale. call ahead or order online,,,,,,,,true,true,,,,,,,,true,,Crowlers,"Delivery, Take-Out",286,4c9aa24122472d6704b983a972ea443e780b937f,POINT (-105.050164 40.583284)
Ken's Muffler and Automotive,Auto,http://www.kensmuffler.net,1219 N College ave,Fort Collins,7:30 am - 5:00 pm,We can pick up and deliver your vehicle in surrounding areas.,Please rate and like us on social media,,,,,,,true,true,,,,,,,,,,,"Delivery, Take-Out",224,ce3c2195388fd88556614a304e7a62fd1500e267,POINT (-105.07656300000001 40.603104)
Pinot's Palette - Fort Collins,Entertainment & Recreation,http://www.pinotspalette.com/fortcollins,159 W Mountain Ave,Fort Collins,11am - 10pm Tues - Sun,Contact us at 970-214-5208. We're back! In studio! Also offering virtual painting classes!  Check out our event page for more.,Purchase Paint to Go Kits and Virtual/On Demand Classes. Share marketing and collaboration within the downtown area. Share and Like events on Social Media.,,,true,,,true,true,,true,,,,,,,,,Gift Cards,"Delivery, Order Online, Outdoor Recreation",318,20f59ab0445d9acdc523866d3df5b915ba834298,POINT (-105.078625 40.586963)
Fossil Creek Nursery,Retail,http://www.fossilcreeknursery.com,7029 S College Ave,Fort Collins,"M-Sat 9-5, Sun 10-4",We are a family owned business that has been part of Fort Collins since 1969.,Buy a gift certificate for the gardeners in your life! Like us on Facebook www.facebook.com/fossilcreeknursery.,,,,,,true,true,,,,,,,,,,,Gift Cards,Delivery,156,a820a0165206f8e96c38d84b1ffc9e12b3c6c308,POINT (-105.077455 40.489668)
The Colorado Room,Restaurant/Bar,http://thecoloradoroom.com/,642 S College Ave,Fort Collins,Mon-Th 2pm-8pm; Fri & Sat 12pm-9pm; Sun 12pm-8pm,"Per social, curbside pickup avail.",Order from us! Share we're open!,,,,,,true,true,true,true,,,,,,,,,Gift Cards,"Delivery, Order Online, Take-Out",404,c6de8050633cdba36f03bd95cb01523992a1b352,POINT (-105.076979 40.578539)
Alpha Center,Health & Wellness,https://thealphacenter.org/,1212 South College Avenue,Fort Collins,Appointment Only,https://www.facebook.com/thealphacenter/,How to help this business:1. Refer women facing unexpected pregnancy to us,,,,,,,,,,,,,,,,,,,,9,e38820d0bad7dc5a86fe2ca01c0cd99215f41b44,POINT (-105.076957 40.571486)
Hilton Garden Inn Fort Collins,Hospitality,https://hiltongardeninn3.hilton.com/en/hotels/colorado/hilton-garden-inn-fort-collins-FNLFCGI/accommodations/index.html,2821 E Harmony Road,Fort Collins,24/7,Contact us at 970-225-2900. Open. Call us for room rates and other hotel information.,Guest room and meeting space available.,,,,,,true,,,,,,,,,,,,Gift Cards,,188,b96f15210972b8c80a2b076acbdc47b8f9fc94be,POINT (-105.024496 40.523113)
StraightLine Fitness Studio,Entertainment & Recreation,http://www.StraightLineFS.com,1606 S Lemay Ave suite 102,Fort Collins,Sunday through Saturday 8am to 6pm,,"Follow us on YouTube channel for helpful self care stretches, breathing techniques, and desk exercises. You can check out our virtual services for body rolling and exercise classes which are living room friendly. We offer curbside pick up of Yamuna balls (self care) and foam rollers.",,,,,,true,,,,,,,,,,,,Gift Cards,,389,58f27db4a5207b9ac0d50c6fbd307d35bcbf5c8b,POINT (-105.057909 40.566702)
Cannagea,Health & Wellness,https://cannagea.com/,2716 S College Ave Suite D,Fort Collins,N/A,,https://www.instagram.com/cannagea_cbd/,,,true,,,,true,,,,,,,,,,,,"Delivery, Outdoor Recreation",53,3d650e8a91943e537ab38bc390d9c382d30e08d6,POINT (-105.076957 40.543351)
Safeguard Business Systems,Business & Professional,,,Fort Collins,,Contact us at 970-482-1500. On the essential list. Having trouble finding a resource for products you need to run your business Day to Day? We are offering 60% off or a Free Box of Envelopes for any new customer in need of Business Checks.  Also $50 off any new purchase of (excluding Promo/Apparel and reorders) of $200 or more.,,,,,,,,,,,,,,,,,,,,,357,793d523f919e205318a6cdeea0a47cabda38c62d,POINT (-105.082459 40.588972)
Fiona's Deli,Restaurant/Bar,https://fionasdeli.com/,1001 E Harmony,Fort Collins,11am-7pm Monday thru Saturday,"Soups, Salads, Sandwiches & Bakery  Adding Take Home Meals from Catering Menu. Open 11am-7pm every day. Call for order 970-530-2120",,,,,,,true,true,true,,true,,,,,,,,Gift Cards,"Delivery, NoCoNosh, Take-Out",141,f91c85a19ddde2f1364a22fe0e1f007a22e52089,POINT (-105.05849400000001 40.52359)
The Original Pancake House,Restaurant/Bar,http://www.ophfortcollins.com/,2909 E Harmony Rd #140,Fort Collins,,(970) 682-1029,,,,,,,,,,,,,,,,,,,,,421,a4182ef17cf093e85ae4440ece98314f70f7b0b1,POINT (-105.02302 40.523115)
Dickey's Barbecue Pit,Restaurant/Bar,http://www.dickeys.com/,104 E 29th Street Unit 2,Loveland,Daily 11:00am to 8:30pm,,https://www.facebook.com/dickeysbarbecuepit/,,,,,,true,true,true,true,true,true,true,true,,,,,Gift Cards,"Delivery, DoorDash, GrubHub, NoCoNosh, Order Online, Postmates, Take-Out",109,e25ce45ceea2a80ba9f5dbe512cc4b9f6869c3dd,POINT (-105.076841 40.421632)
Wild Horizons,Entertainment & Recreation,https://wildhorizonscrossfit.com/,3601 Arctic Fox Drive,Fort Collins,Classes M-F: 5:15AM-6:15PM. Open Gym Sun.,https://www.facebook.com/wildhorizonscrossfit.fortcollins/,How to help this business:#supportyourlocalbox workout challenge,,,,,,true,,,,,,,,,,,,Gift Cards,,472,2ec1a3343ccb759c60c4f42f1e67ad3f61ab2188,POINT (-105.035866 40.537664)
Mary Kay- Karen Searle,Retail,,2715 Sunstone Dr,Fort Collins,,"Contact us at ksearle59@msn.com. independent beauty consultant specializing in facials, skin care and color cosmetics. She carries products for teens, women and men. Contact her today for more information or to host a party. ksearle59@msn.com",,,,,,,,,,,,,,,,,,,,,256,e7e37b5fe8cf23c5b18a5463bff47ffcd179a989,POINT (-105.026063 40.532087)
